Model,Test_Accuracy,Test_F1,Test_AUC,Test_Precision,Test_Recall
RandomForest,0.9558232931726908,0.9551020408163265,0.9969595302998533,0.9790794979079498,0.9322709163346613
LogisticRegression,0.9879518072289156,0.9879032258064516,0.9994999758052809,1.0,0.9760956175298805
GradientBoosting,0.9698795180722891,0.9698189134808853,0.997822475281062,0.9796747967479674,0.9601593625498008
